,날짜,모기지수,강수량(mm),평균기온(C),최저기온(C),최대기온(C)
434,07-07,877.7,16.5,26.4,24.4,28.4
435,07-08,882.1,4.5,26.0,24.6,27.6
436,07-09,884.3,32.5,26.3,23.8,30.3
437,07-10,928.4,144.5,24.0,22.6,25.4
438,07-10,928.4,144.5,24.0,22.6,25.4
439,07-10,928.4,144.5,24.0,22.6,25.4
440,07-10,928.4,144.5,24.0,22.6,25.4
441,07-11,921.8,1.0,26.0,22.2,30.9
442,07-12,911.9,0.0,27.1,24.9,31.1
443,07-13,909.7,0.0,27.6,23.1,32.1
444,07-14,900.8,0.0,28.7,26.1,33.0
445,07-15,935.0,42.5,25.0,23.4,27.3
446,07-16,921.8,22.5,26.2,23.4,28.8
447,07-17,919.6,7.5,26.8,24.0,29.0
448,07-18,952.7,2.5,26.5,23.9,30.7
449,07-19,976.9,0.0,28.3,24.5,34.1
450,07-20,1000.0,0.0,29.9,26.0,34.9
451,07-21,1000.0,0.0,29.8,27.3,32.4
452,07-22,1000.0,0.5,29.3,27.5,32.5
453,07-23,1000.0,133.5,27.0,26.1,28.1
454,07-24,1000.0,3.0,26.2,25.6,27.3
455,07-25,1000.0,0.0,29.4,24.6,35.4
456,07-26,1000.0,0.0,28.7,24.2,32.8
457,07-27,1000.0,3.5,27.1,24.9,29.7
458,07-28,1000.0,8.5,25.5,24.8,26.9
459,07-29,1000.0,0.0,27.2,25.0,30.1
460,07-30,969.2,0.0,27.9,24.7,32.6
461,07-31,994.6,3.5,25.7,24.8,27.1
462,08-01,529.3,2.0,28.6,24.1,33.0
463,08-02,518.5,0.0,30.0,26.6,33.0
464,08-03,428.7,0.0,30.2,27.2,33.9
465,08-04,423.7,0.0,30.3,25.9,35.3
466,08-05,380.0,0.0,31.4,27.6,34.8
467,08-05,380.0,0.0,31.4,27.6,34.8
468,08-05,380.0,0.0,31.4,27.6,34.8
469,08-05,380.0,0.0,31.4,27.6,34.8
470,08-06,228.0,5.0,29.8,28.2,34.0
471,08-07,210.1,0.0,29.2,26.4,34.4
472,08-08,181.6,0.0,28.2,25.5,31.0
473,08-09,209.0,2.5,27.6,24.6,32.0
474,08-10,211.8,5.5,24.8,23.9,26.3
475,08-11,231.4,0.5,27.0,23.9,32.4
476,08-12,252.1,0.0,27.8,23.2,32.6
477,08-13,317.7,0.0,26.3,24.2,28.4
478,08-14,448.9,1.5,24.6,23.1,27.1
479,08-15,554.9,93.5,21.9,20.8,24.0
480,08-16,433.8,2.0,23.3,20.5,26.8
481,08-17,472.5,0.5,24.8,21.2,27.7
482,08-18,454.0,0.0,26.3,23.9,30.6
483,08-19,455.7,0.0,26.1,23.1,28.7
484,08-20,482.6,124.5,23.2,22.0,25.8
485,08-21,513.5,5.0,25.8,23.7,29.2
486,08-22,505.7,0.0,27.3,23.4,31.5
487,08-23,443.9,31.5,27.2,24.6,30.2
488,08-24,423.7,14.0,26.5,23.9,28.1
489,08-27,541.1,0.0,22.7,19.0,26.7
490,08-28,285.8,9.0,21.5,18.3,26.5
491,08-29,227.5,0.0,19.5,17.0,24.0
492,08-30,253.8,0.0,19.8,16.1,23.9
493,08-31,204.0,0.0,22.2,16.6,27.6
494,09-01,460.7,0.0,23.3,17.1,29.7
495,09-01,460.7,0.0,23.3,17.1,29.7
496,09-01,460.7,0.0,23.3,17.1,29.7
497,09-01,460.7,0.0,23.3,17.1,29.7
498,09-02,381.7,0.0,23.8,18.6,29.6
499,09-03,455.7,0.0,23.7,19.0,29.2
500,09-04,460.7,0.0,24.6,19.7,30.1
501,09-05,497.7,0.0,21.9,20.4,23.7
502,09-06,506.6,2.0,20.6,18.5,24.0
503,09-07,509.6,0.0,22.4,17.8,27.5
504,09-08,499.4,0.0,24.3,20.4,29.9
505,09-09,507.6,0.0,23.8,19.2,28.2
506,09-10,515.5,0.5,23.0,19.9,26.1
507,09-11,489.3,24.0,21.2,18.6,24.6
508,09-11,489.3,24.0,21.2,18.6,24.6
509,09-11,489.3,24.0,21.2,18.6,24.6
510,09-11,489.3,24.0,21.2,18.6,24.6
511,09-12,443.9,0.0,22.1,17.7,27.9
512,09-13,475.8,0.0,21.4,15.9,27.5
513,09-14,494.3,0.0,22.4,14.8,29.5
514,09-15,509.6,0.0,22.6,17.8,27.9
515,09-15,509.6,0.0,22.6,17.8,27.9
516,09-15,509.6,0.0,22.6,17.8,27.9
517,09-15,509.6,0.0,22.6,17.8,27.9
518,09-16,459.0,0.0,22.0,16.7,27.6
519,09-17,450.6,0.0,23.1,19.0,29.2
520,09-18,470.8,0.0,21.9,16.4,27.6
521,09-19,477.5,8.0,22.6,20.1,25.8
